t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
4.666,49.93200226251,2.34811275464232e-06,1200,124790.154760485,3479.53383080305,130400.075242162,130400.075242162,15928.4803242832,0.59992491056035,0.369142136655294,0.133747012113057,1.0000082949797
4.667,49.9320022648536,2.35985428521999e-06,1200,124790.154760485,3479.53365654548,130400.075506281,130400.075506281,15928.4791285383,0.599924817411349,0.369142132551069,0.13374704967493,1.00000834744556
4.668,49.9320022672089,2.37153446074794e-06,1200,124790.154760485,3479.53348148259,130400.075769319,130400.075769319,15928.4779336976,0.599924724262356,0.369142128550321,0.13374708721193,1.00000839963729
4.669,49.9320022695759,2.38315360874735e-06,1200,124790.154760485,3479.53330561859,130400.076031282,130400.076031282,15928.4767397566,0.599924631113369,0.369142124652508,0.133747124724186,1.00000845155631
4.67,49.9320022719545,2.39471204473737e-06,1200,124790.154760485,3479.53312895767,130400.076292175,130400.076292175,15928.4755467106,0.599924537964389,0.369142120857092,0.133747162211828,1.00000850320406
4.671,49.9320022743446,2.40621009827747e-06,1200,124790.154760485,3479.53295150399,130400.076552005,130400.076552005,15928.4743545548,0.599924444815416,0.369142117163537,0.133747199674984,1.00000855458194
4.672,49.9320022767461,2.41764805933753e-06,1200,124790.154760485,3479.53277326169,130400.076810777,130400.076810777,15928.4731632848,0.59992435166645,0.36914211357131,0.133747237113782,1.00000860569137
4.673,49.9320022791591,2.42902626732705e-06,1200,124790.154760485,3479.5325942349,130400.077068495,130400.077068495,15928.4719728958,0.599924258517492,0.369142110079884,0.13374727452835,1.00000865653375
4.674,49.9320022815834,2.44034501279593e-06,1200,124790.154760485,3479.53241442771,130400.077325167,130400.077325167,15928.4707833832,0.59992416536854,0.36914210668873,0.133747311918814,1.00000870711048
4.675,49.9320022840189,2.45160462019711e-06,1200,124790.154760485,3479.53223384421,130400.077580797,130400.077580797,15928.4695947425,0.599924072219595,0.369142103397325,0.133747349285299,1.00000875742294
4.676,49.9320022864658,2.46280539139415e-06,1200,124790.154760485,3479.53205248844,130400.077835391,130400.077835391,15928.4684069691,0.599923979070657,0.369142100205149,0.133747386627932,1.00000880747251
4.677,49.9320022889238,2.47394763935826e-06,1200,124790.154760485,3479.53187036444,130400.078088953,130400.078088953,15928.4672200584,0.599923885921725,0.369142097111683,0.133747423946836,1.00000885726057
4.678,49.9320022913928,2.48503167087533e-06,1200,124790.154760485,3479.53168747624,130400.078341491,130400.078341491,15928.466034006,0.599923792772801,0.36914209411641,0.133747461242136,1.00000890678849
4.679,49.932002293873,2.4960577854399e-06,1200,124790.154760485,3479.53150382781,130400.078593008,130400.078593008,15928.4648488074,0.599923699623884,0.369142091218818,0.133747498513955,1.00000895605762
4.68,49.9320022963641,2.50702628473124e-06,1200,124790.154760485,3479.53131942314,130400.07884351,130400.07884351,15928.4636644581,0.599923606474974,0.369142088418396,0.133747535762416,1.00000900506932
4.681,49.9320022988662,2.51793746607553e-06,1200,124790.154760485,3479.53113426617,130400.079093003,130400.079093003,15928.4624809536,0.59992351332607,0.369142085714638,0.133747572987639,1.00000905382492
4.682,49.9320023013791,2.52879163808008e-06,1200,124790.154760485,3479.53094836083,130400.079341491,130400.079341491,15928.4612982896,0.599923420177174,0.369142083107039,0.133747610189747,1.00000910232577
4.683,49.9320023039029,2.53958911156939e-06,1200,124790.154760485,3479.53076171105,130400.079588981,130400.079588981,15928.4601164617,0.599923327028284,0.369142080595094,0.133747647368861,1.00000915057321
4.684,49.9320023064375,2.55033013134005e-06,1200,124790.154760485,3479.5305743207,130400.079835477,130400.079835477,15928.4589354654,0.599923233879401,0.369142078178307,0.133747684525099,1.00000919856854
4.685,49.9320023089827,2.56101504905844e-06,1200,124790.154760485,3479.53038619365,130400.080080984,130400.080080984,15928.4577552964,0.599923140730526,0.369142075856181,0.133747721658582,1.00000924631309
