scheme,Δω_op,mode_idx,real,imag,omega_n,damping
C2,0.5,3,-22.08711594076651,0.0,22.08711594076651,1.0
C2,0.5,4,-4.003122527448301,0.0,4.003122527448301,1.0
C2,0.5,5,0.0,0.0,0.0,1.0
C3,0.5,1,-309.4034626889704,0.0,309.4034626889704,1.0
C3,0.5,2,-50.00041054531399,0.0,50.00041054531399,1.0
C3,0.5,3,-21.194836998218094,0.0,21.194836998218094,1.0
C3,0.5,4,-4.495909981907537,0.0,4.495909981907537,1.0
C3,0.5,5,0.0,0.0,0.0,1.0
C4,0.5,1,-76.88626049292918,0.0,76.88626049292918,1.0
C4,0.5,2,-49.99988722547188,0.0,49.99988722547188,1.0
C4,0.5,3,-27.442300884757177,0.0,27.442300884757177,1.0
C4,0.5,4,-7.3226405030930914,0.0,7.3226405030930914,1.0
C4,0.5,5,7.726329520784181e-5,0.0,7.726329520784181e-5,-1.0
C1,0.6,1,-296.02483763021337,0.0,296.02483763021337,1.0
C1,0.6,2,-50.00014013676914,0.0,50.00014013676914,1.0
C1,0.6,3,-21.553324864798057,0.0,21.553324864798057,1.0
C1,0.6,4,-3.6927596398580533,0.0,3.6927596398580533,1.0
C1,0.6,5,0.0,0.0,0.0,1.0
C2,0.6,1,-294.8860713697933,0.0,294.8860713697933,1.0
C2,0.6,2,-50.00042420221529,0.0,50.00042420221529,1.0
C2,0.6,3,-22.322194812843374,0.0,22.322194812843374,1.0
C2,0.6,4,-4.063099482547941,0.0,4.063099482547941,1.0
C2,0.6,5,0.0,0.0,0.0,1.0
C3,0.6,1,-295.3908552807622,0.0,295.3908552807622,1.0
C3,0.6,2,-50.00083615628974,0.0,50.00083615628974,1.0
C3,0.6,3,-21.2150749533568,0.0,21.2150749533568,1.0
C3,0.6,4,-4.6635682854688945,0.0,4.6635682854688945,1.0
C3,0.6,5,0.0,0.0,0.0,1.0
C4,0.6,1,-82.19326569628858,0.0,82.19326569628858,1.0
C4,0.6,2,-50.000043927893145,0.0,50.000043927893145,1.0
C4,0.6,3,-26.807239219566686,0.0,26.807239219566686,1.0
C4,0.6,4,-7.837512493630056,0.0,7.837512493630056,1.0
C4,0.6,5,9.17866301781712e-5,0.0,9.17866301781712e-5,-1.0
C1,0.7,1,-280.8203696099971,0.0,280.8203696099971,1.0
C1,0.7,2,-50.00001867325245,0.0,50.00001867325245,1.0
C1,0.7,3,-21.64472039815669,0.0,21.64472039815669,1.0
C1,0.7,4,-3.6774187209417,0.0,3.6774187209417,1.0
C1,0.7,5,0.0,0.0,0.0,1.0
